Producer;Wine name;Award;Score;Country;Region;Sub-region;Vintage;Color
Gatt Wines;Riesling;Best in Show;97;Australia;South Australia;High Eden (Eden Valley);2017;White
Brokenwood Wines;ILR Reserve Semillon;Best in Show;97;Australia;New South Wales;Hunter Valley;2017;White
Mecori;Duo;Best in Show;97;Italy;Sicily;Etna;2021;Red
Château D'Esclans;-;Best in Show;97;France;Provence;Côtes de Provence;2021;Rosé
Terrazas De Los Andes;Origen Los Chacayes Malbec;Best in Show;97;Argentina;Mendoza;Uco Valley;2021;Red
Iona;Highlands Chardonnay;Best in Show;97;South Africa;Elgin;Not Applicable;2021;White
Château De Meursault;Clos Des Epenots;Best in Show;97;France;Burgundy;Pommard 1er Cru;2021;Red
Weingut Korrell;Kreuznach Paradies Riesling;Best in Show;97;Germany;Nahe;Not Applicable;2021;White
Kyanos Wines;Orycton;Best in Show;97;Greece;Aegean Islands;Santorini;2021;White
Penfolds;Reserve Bin A Adelaide Hills;Best in Show;97;Australia;South Australia;Adelaide Hills;2021;White
Archery Summit Winery;Pinot Noir;Best in Show;97;United States;Oregon;Dundee Hills;2021;Red
Palliser Estate;Hua Nui Single Vineyard Pinot Noir;Best in Show;97;New Zealand;Wairarapa;Martinborough;2021;Red
Fattoria Villa Saletta;980 AD;Best in Show;97;Italy;Tuscany;Toscana;2018;Red
Evans & Tate;Redbrook Reserve Cabernet Sauvignon;Best in Show;97;Australia;Western Australia;Margaret River;2018;Red
Mastrojanni;Vigna Loreto;Best in Show;97;Italy;Tuscany;Brunello di Montalcino;2018;Red
Ramón Bilbao;Lalomba Finca Ladero;Best in Show;97;Spain;Rioja;Not Applicable;2018;Red
Mar de Frades;Finca Monteveiga Albariño;Best in Show;97;Spain;Rías Baixas;Not Applicable;2018;White
Bodegas Ysios;Finca Lagunazuri;Best in Show;97;Spain;Rioja;Not Applicable;2018;Red
Ruffino;Romitorio Di Santedame;Best in Show;97;Italy;Tuscany;Chianti Classico Gran Selezione;2019;Red
Paolo Manzone;Meriame;Best in Show;97;Italy;Piedmont;Barolo;2019;Red
Damilano;Lecinquevigne;Best in Show;97;Italy;Piedmont;Barolo;2019;Red
Wirra Wirra;Chook Block;Best in Show;97;Australia;South Australia;McLaren Vale;2019;Red
Vinarija Vinčić;Grašac;Best in Show;97;Serbia;Srem;Fruška Gora;2020;White
Domaine Naturaliste;Rebus Cabernet Sauvignon;Best in Show;97;Australia;Western Australia;Margaret River;2020;Red
Bodegas Y Viñedos Merayo;Las Tres Filas Mencía;Best in Show;97;Spain;Bierzo;Not Applicable;2020;Red
Domaine Clavel;Des Clous;Best in Show;97;France;Languedoc-Roussillon;Languedoc Pic Saint Loup;2020;Red
Château Fayat;-;Best in Show;97;France;Bordeaux;Pomerol;2020;Red
