Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value
"TM","Detailed trade matrix","004","Afghanistan","076","Brazil","5610","Import Quantity","24212.02","Wine","2021","2021","t","0.01"
"TM","Detailed trade matrix","004","Afghanistan","076","Brazil","5622","Import Value","24212.02","Wine","2021","2021","1000 USD","0"
"TM","Detailed trade matrix","008","Albania","032","Argentina","5610","Import Quantity","24212.02","Wine","2008","2008","t","4"
"TM","Detailed trade matrix","008","Albania","032","Argentina","5610","Import Quantity","24212.02","Wine","2009","2009","t","3"
"TM","Detailed trade matrix","008","Albania","032","Argentina","5610","Import Quantity","24212.02","Wine","2010","2010","t","0"
"TM","Detailed trade matrix","008","Albania","032","Argentina","5610","Import Quantity","24212.02","Wine","2011","2011","t","1"
"TM","Detailed trade matrix","008","Albania","032","Argentina","5622","Import Value","24212.02","Wine","2008","2008","1000 USD","27"
"TM","Detailed trade matrix","008","Albania","032","Argentina","5622","Import Value","24212.02","Wine","2009","2009","1000 USD","16"
"TM","Detailed trade matrix","008","Albania","032","Argentina","5622","Import Value","24212.02","Wine","2010","2010","1000 USD","0"
"TM","Detailed trade matrix","008","Albania","032","Argentina","5622","Import Value","24212.02","Wine","2011","2011","1000 USD","3"
"TM","Detailed trade matrix","008","Albania","152","Chile","5610","Import Quantity","24212.02","Wine","2008","2008","t","6"
"TM","Detailed trade matrix","008","Albania","152","Chile","5610","Import Quantity","24212.02","Wine","2009","2009","t","3"
"TM","Detailed trade matrix","008","Albania","152","Chile","5610","Import Quantity","24212.02","Wine","2010","2010","t","4"
"TM","Detailed trade matrix","008","Albania","152","Chile","5610","Import Quantity","24212.02","Wine","2011","2011","t","7"
"TM","Detailed trade matrix","008","Albania","152","Chile","5610","Import Quantity","24212.02","Wine","2012","2012","t","5"
"TM","Detailed trade matrix","008","Albania","152","Chile","5610","Import Quantity","24212.02","Wine","2013","2013","t","2"
"TM","Detailed trade matrix","008","Albania","152","Chile","5610","Import Quantity","24212.02","Wine","2020","2020","t","1.22"
"TM","Detailed trade matrix","008","Albania","152","Chile","5622","Import Value","24212.02","Wine","2008","2008","1000 USD","17"
"TM","Detailed trade matrix","008","Albania","152","Chile","5622","Import Value","24212.02","Wine","2009","2009","1000 USD","7"
"TM","Detailed trade matrix","008","Albania","152","Chile","5622","Import Value","24212.02","Wine","2010","2010","1000 USD","10"
"TM","Detailed trade matrix","008","Albania","152","Chile","5622","Import Value","24212.02","Wine","2011","2011","1000 USD","24"
"TM","Detailed trade matrix","008","Albania","152","Chile","5622","Import Value","24212.02","Wine","2012","2012","1000 USD","21"
"TM","Detailed trade matrix","008","Albania","152","Chile","5622","Import Value","24212.02","Wine","2013","2013","1000 USD","7"
"TM","Detailed trade matrix","008","Albania","152","Chile","5622","Import Value","24212.02","Wine","2020","2020","1000 USD","7"
"TM","Detailed trade matrix","012","Algeria","032","Argentina","5610","Import Quantity","24212.02","Wine","2008","2008","t","0"
"TM","Detailed trade matrix","012","Algeria","032","Argentina","5610","Import Quantity","24212.02","Wine","2009","2009","t","65"
"TM","Detailed trade matrix","012","Algeria","032","Argentina","5610","Import Quantity","24212.02","Wine","2011","2011","t","0"
"TM","Detailed trade matrix","012","Algeria","032","Argentina","5610","Import Quantity","24212.02","Wine","2012","2012","t","0"
"TM","Detailed trade matrix","012","Algeria","032","Argentina","5610","Import Quantity","24212.02","Wine","2014","2014","t","0.5"
"TM","Detailed trade matrix","012","Algeria","032","Argentina","5610","Import Quantity","24212.02","Wine","2015","2015","t","1.29"
"TM","Detailed trade matrix","012","Algeria","032","Argentina","5610","Import Quantity","24212.02","Wine","2016","2016","t","1.02"
"TM","Detailed trade matrix","012","Algeria","032","Argentina","5610","Import Quantity","24212.02","Wine","2017","2017","t","0.68"
"TM","Detailed trade matrix","012","Algeria","032","Argentina","5622","Import Value","24212.02","Wine","2008","2008","1000 USD","1"
"TM","Detailed trade matrix","012","Algeria","032","Argentina","5622","Import Value","24212.02","Wine","2009","2009","1000 USD","51"
"TM","Detailed trade matrix","012","Algeria","032","Argentina","5622","Import Value","24212.02","Wine","2011","2011","1000 USD","1"
"TM","Detailed trade matrix","012","Algeria","032","Argentina","5622","Import Value","24212.02","Wine","2012","2012","1000 USD","1"
"TM","Detailed trade matrix","012","Algeria","032","Argentina","5622","Import Value","24212.02","Wine","2014","2014","1000 USD","6"
"TM","Detailed trade matrix","012","Algeria","032","Argentina","5622","Import Value","24212.02","Wine","2015","2015","1000 USD","7"
"TM","Detailed trade matrix","012","Algeria","032","Argentina","5622","Import Value","24212.02","Wine","2016","2016","1000 USD","9"
"TM","Detailed trade matrix","012","Algeria","032","Argentina","5622","Import Value","24212.02","Wine","2017","2017","1000 USD","7"
"TM","Detailed trade matrix","012","Algeria","152","Chile","5610","Import Quantity","24212.02","Wine","2008","2008","t","0"
"TM","Detailed trade matrix","012","Algeria","152","Chile","5610","Import Quantity","24212.02","Wine","2009","2009","t","0"
"TM","Detailed trade matrix","012","Algeria","152","Chile","5610","Import Quantity","24212.02","Wine","2011","2011","t","0"
"TM","Detailed trade matrix","012","Algeria","152","Chile","5610","Import Quantity","24212.02","Wine","2012","2012","t","1"
"TM","Detailed trade matrix","012","Algeria","152","Chile","5610","Import Quantity","24212.02","Wine","2014","2014","t","0.94"
"TM","Detailed trade matrix","012","Algeria","152","Chile","5610","Import Quantity","24212.02","Wine","2015","2015","t","0.99"
"TM","Detailed trade matrix","012","Algeria","152","Chile","5610","Import Quantity","24212.02","Wine","2016","2016","t","0.8"
"TM","Detailed trade matrix","012","Algeria","152","Chile","5610","Import Quantity","24212.02","Wine","2017","2017","t","3.09"
"TM","Detailed trade matrix","012","Algeria","152","Chile","5622","Import Value","24212.02","Wine","2008","2008","1000 USD","1"
"TM","Detailed trade matrix","012","Algeria","152","Chile","5622","Import Value","24212.02","Wine","2009","2009","1000 USD","2"
"TM","Detailed trade matrix","012","Algeria","152","Chile","5622","Import Value","24212.02","Wine","2011","2011","1000 USD","1"
"TM","Detailed trade matrix","012","Algeria","152","Chile","5622","Import Value","24212.02","Wine","2012","2012","1000 USD","3"
"TM","Detailed trade matrix","012","Algeria","152","Chile","5622","Import Value","24212.02","Wine","2014","2014","1000 USD","10"
"TM","Detailed trade matrix","012","Algeria","152","Chile","5622","Import Value","24212.02","Wine","2015","2015","1000 USD","7"
"TM","Detailed trade matrix","012","Algeria","152","Chile","5622","Import Value","24212.02","Wine","2016","2016","1000 USD","8"
"TM","Detailed trade matrix","012","Algeria","152","Chile","5622","Import Value","24212.02","Wine","2017","2017","1000 USD","19"
"TM","Detailed trade matrix","024","Angola","032","Argentina","5610","Import Quantity","24212.02","Wine","2014","2014","t","83.3"
"TM","Detailed trade matrix","024","Angola","032","Argentina","5610","Import Quantity","24212.02","Wine","2015","2015","t","16.99"
"TM","Detailed trade matrix","024","Angola","032","Argentina","5610","Import Quantity","24212.02","Wine","2017","2017","t","40.23"
"TM","Detailed trade matrix","024","Angola","032","Argentina","5610","Import Quantity","24212.02","Wine","2018","2018","t","24"
"TM","Detailed trade matrix","024","Angola","032","Argentina","5610","Import Quantity","24212.02","Wine","2019","2019","t","144.12"
"TM","Detailed trade matrix","024","Angola","032","Argentina","5610","Import Quantity","24212.02","Wine","2020","2020","t","35.24"
"TM","Detailed trade matrix","024","Angola","032","Argentina","5610","Import Quantity","24212.02","Wine","2021","2021","t","43.67"
"TM","Detailed trade matrix","024","Angola","032","Argentina","5622","Import Value","24212.02","Wine","2014","2014","1000 USD","274"
"TM","Detailed trade matrix","024","Angola","032","Argentina","5622","Import Value","24212.02","Wine","2015","2015","1000 USD","82"
"TM","Detailed trade matrix","024","Angola","032","Argentina","5622","Import Value","24212.02","Wine","2017","2017","1000 USD","138"
"TM","Detailed trade matrix","024","Angola","032","Argentina","5622","Import Value","24212.02","Wine","2018","2018","1000 USD","122"
"TM","Detailed trade matrix","024","Angola","032","Argentina","5622","Import Value","24212.02","Wine","2019","2019","1000 USD","110"
"TM","Detailed trade matrix","024","Angola","032","Argentina","5622","Import Value","24212.02","Wine","2020","2020","1000 USD","72"
"TM","Detailed trade matrix","024","Angola","032","Argentina","5622","Import Value","24212.02","Wine","2021","2021","1000 USD","92"
"TM","Detailed trade matrix","024","Angola","032","Argentina","5910","Export Quantity","24212.02","Wine","2020","2020","t","0.09"
"TM","Detailed trade matrix","024","Angola","032","Argentina","5922","Export Value","24212.02","Wine","2020","2020","1000 USD","0"
"TM","Detailed trade matrix","024","Angola","076","Brazil","5610","Import Quantity","24212.02","Wine","2014","2014","t","19.05"
"TM","Detailed trade matrix","024","Angola","076","Brazil","5610","Import Quantity","24212.02","Wine","2015","2015","t","1.91"
"TM","Detailed trade matrix","024","Angola","076","Brazil","5610","Import Quantity","24212.02","Wine","2017","2017","t","10.17"
"TM","Detailed trade matrix","024","Angola","076","Brazil","5610","Import Quantity","24212.02","Wine","2018","2018","t","0.54"
"TM","Detailed trade matrix","024","Angola","076","Brazil","5610","Import Quantity","24212.02","Wine","2019","2019","t","209.25"
"TM","Detailed trade matrix","024","Angola","076","Brazil","5610","Import Quantity","24212.02","Wine","2020","2020","t","5.06"
"TM","Detailed trade matrix","024","Angola","076","Brazil","5610","Import Quantity","24212.02","Wine","2021","2021","t","68.31"
"TM","Detailed trade matrix","024","Angola","076","Brazil","5622","Import Value","24212.02","Wine","2014","2014","1000 USD","51"
"TM","Detailed trade matrix","024","Angola","076","Brazil","5622","Import Value","24212.02","Wine","2015","2015","1000 USD","19"
"TM","Detailed trade matrix","024","Angola","076","Brazil","5622","Import Value","24212.02","Wine","2017","2017","1000 USD","69"
"TM","Detailed trade matrix","024","Angola","076","Brazil","5622","Import Value","24212.02","Wine","2018","2018","1000 USD","1"
"TM","Detailed trade matrix","024","Angola","076","Brazil","5622","Import Value","24212.02","Wine","2019","2019","1000 USD","202"
"TM","Detailed trade matrix","024","Angola","076","Brazil","5622","Import Value","24212.02","Wine","2020","2020","1000 USD","9"
"TM","Detailed trade matrix","024","Angola","076","Brazil","5622","Import Value","24212.02","Wine","2021","2021","1000 USD","32"
"TM","Detailed trade matrix","024","Angola","076","Brazil","5910","Export Quantity","24212.02","Wine","2019","2019","t","0.14"
"TM","Detailed trade matrix","024","Angola","076","Brazil","5910","Export Quantity","24212.02","Wine","2020","2020","t","0.07"
"TM","Detailed trade matrix","024","Angola","076","Brazil","5910","Export Quantity","24212.02","Wine","2021","2021","t","1.06"
"TM","Detailed trade matrix","024","Angola","076","Brazil","5922","Export Value","24212.02","Wine","2019","2019","1000 USD","0"
"TM","Detailed trade matrix","024","Angola","076","Brazil","5922","Export Value","24212.02","Wine","2020","2020","1000 USD","1"
"TM","Detailed trade matrix","024","Angola","076","Brazil","5922","Export Value","24212.02","Wine","2021","2021","1000 USD","1"
"TM","Detailed trade matrix","024","Angola","152","Chile","5610","Import Quantity","24212.02","Wine","2014","2014","t","209.43"
"TM","Detailed trade matrix","024","Angola","152","Chile","5610","Import Quantity","24212.02","Wine","2015","2015","t","192.59"
"TM","Detailed trade matrix","024","Angola","152","Chile","5610","Import Quantity","24212.02","Wine","2017","2017","t","54.07"
"TM","Detailed trade matrix","024","Angola","152","Chile","5610","Import Quantity","24212.02","Wine","2018","2018","t","63.09"
"TM","Detailed trade matrix","024","Angola","152","Chile","5610","Import Quantity","24212.02","Wine","2019","2019","t","40.42"
"TM","Detailed trade matrix","024","Angola","152","Chile","5610","Import Quantity","24212.02","Wine","2020","2020","t","15.74"
"TM","Detailed trade matrix","024","Angola","152","Chile","5610","Import Quantity","24212.02","Wine","2021","2021","t","15.27"
"TM","Detailed trade matrix","024","Angola","152","Chile","5622","Import Value","24212.02","Wine","2014","2014","1000 USD","776"
"TM","Detailed trade matrix","024","Angola","152","Chile","5622","Import Value","24212.02","Wine","2015","2015","1000 USD","541"
"TM","Detailed trade matrix","024","Angola","152","Chile","5622","Import Value","24212.02","Wine","2017","2017","1000 USD","182"
"TM","Detailed trade matrix","024","Angola","152","Chile","5622","Import Value","24212.02","Wine","2018","2018","1000 USD","229"
"TM","Detailed trade matrix","024","Angola","152","Chile","5622","Import Value","24212.02","Wine","2019","2019","1000 USD","60"
"TM","Detailed trade matrix","024","Angola","152","Chile","5622","Import Value","24212.02","Wine","2020","2020","1000 USD","52"
"TM","Detailed trade matrix","024","Angola","152","Chile","5622","Import Value","24212.02","Wine","2021","2021","1000 USD","47"
"TM","Detailed trade matrix","024","Angola","152","Chile","5910","Export Quantity","24212.02","Wine","2020","2020","t","0.01"
"TM","Detailed trade matrix","024","Angola","152","Chile","5922","Export Value","24212.02","Wine","2020","2020","1000 USD","0"
"TM","Detailed trade matrix","024","Angola","604","Peru","5910","Export Quantity","24212.02","Wine","2021","2021","t","5.65"
"TM","Detailed trade matrix","024","Angola","604","Peru","5922","Export Value","24212.02","Wine","2021","2021","1000 USD","3"
"TM","Detailed trade matrix","024","Angola","858","Uruguay","5610","Import Quantity","24212.02","Wine","2017","2017","t","11.05"
"TM","Detailed trade matrix","024","Angola","858","Uruguay","5610","Import Quantity","24212.02","Wine","2019","2019","t","23.9"
"TM","Detailed trade matrix","024","Angola","858","Uruguay","5610","Import Quantity","24212.02","Wine","2020","2020","t","23.9"
"TM","Detailed trade matrix","024","Angola","858","Uruguay","5622","Import Value","24212.02","Wine","2017","2017","1000 USD","113"
"TM","Detailed trade matrix","024","Angola","858","Uruguay","5622","Import Value","24212.02","Wine","2019","2019","1000 USD","53"
"TM","Detailed trade matrix","024","Angola","858","Uruguay","5622","Import Value","24212.02","Wine","2020","2020","1000 USD","55"
"TM","Detailed trade matrix","024","Angola","858","Uruguay","5910","Export Quantity","24212.02","Wine","2020","2020","t","0.05"
"TM","Detailed trade matrix","024","Angola","858","Uruguay","5922","Export Value","24212.02","Wine","2020","2020","1000 USD","0"
"TM","Detailed trade matrix","024","Angola","862","Venezuela (Bolivarian Republic of)","5910","Export Quantity","24212.02","Wine","2021","2021","t","0.03"
"TM","Detailed trade matrix","024","Angola","862","Venezuela (Bolivarian Republic of)","5922","Export Value","24212.02","Wine","2021","2021","1000 USD","0"
"TM","Detailed trade matrix","028","Antigua and Barbuda","032","Argentina","5610","Import Quantity","24212.02","Wine","2011","2011","t","209"
"TM","Detailed trade matrix","028","Antigua and Barbuda","032","Argentina","5610","Import Quantity","24212.02","Wine","2013","2013","t","156"
"TM","Detailed trade matrix","028","Antigua and Barbuda","032","Argentina","5610","Import Quantity","24212.02","Wine","2014","2014","t","157.41"
"TM","Detailed trade matrix","028","Antigua and Barbuda","032","Argentina","5610","Import Quantity","24212.02","Wine","2015","2015","t","134.18"
"TM","Detailed trade matrix","028","Antigua and Barbuda","032","Argentina","5610","Import Quantity","24212.02","Wine","2016","2016","t","43.27"
