Nome: BENTO GONCALVES
Codigo Estacao: A840
Latitude: -29.164581
Longitude: -51.534202
Altitude: 623.27
Situacao: Operante
Data Inicial: 2006-11-30
Data Final: 2023-10-25
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2006-11-30;null;null;null;
2006-12-31;7;null;23,019337;
2007-01-31;15;132,6;22,177151;
2007-02-28;3;null;null;
2007-03-31;19;195,2;22,145882;
2007-04-30;14;57,2;19,619734;
2007-05-31;16;175,8;12,650006;
2007-06-30;11;57,2;14,314305;
2007-07-31;13;250;11,181311;
2007-08-31;14;123,6;12,931966;
2007-09-30;10;266,4;17,820833;
2007-10-31;13;122,2;18,606095;
2007-11-30;11;null;18,362167;
2007-12-31;10;198,6;21,02957;
2008-01-31;8;46,6;21,355645;
2008-02-29;10;76;21,142385;
2008-03-31;11;90;20,58293;
2008-04-30;14;86,4;17,343472;
2008-05-31;9;163;14,111836;
2008-06-30;16;157,6;11,469698;
2008-07-31;13;75,4;14,945699;
2008-08-31;13;190,2;14,215188;
2008-09-30;10;144;13,325;
2008-10-31;17;300,2;16,792876;
2008-11-30;10;71;19,217723;
2008-12-31;13;82,4;20,348253;
2009-01-31;15;254,4;20,465616;
2009-02-28;17;141;21,674702;
2009-03-31;13;85,2;20,994892;
2009-04-30;6;24,4;18,413889;
2009-05-31;11;127;15,55336;
2009-06-30;12;81,8;11,174722;
2009-07-31;6;null;null;
2009-08-31;6;null;16,851389;
2009-09-30;13;null;15,229065;
2009-10-31;11;137;16,881178;
2009-11-30;20;337,2;21,457917;
2009-12-31;13;216,6;21,268683;
2010-01-31;18;278,4;21,875684;
2010-02-28;14;161,4;23,01131;
2010-03-31;19;58,4;20,67043;
2010-04-30;14;136,4;17,593889;
2010-05-31;21;158,6;14,281855;
2010-06-30;12;128,2;13,099445;
2010-07-31;15;205,6;12,994758;
2010-08-31;9;50,6;13,31093;
2010-09-30;13;225,4;15,525543;
2010-10-31;11;50,8;16,018496;
2010-11-30;12;88,4;18,369861;
2010-12-31;11;89,6;20,860484;
2011-01-31;20;164,8;22,806183;
2011-02-28;22;221,6;21,582738;
2011-03-31;12;264,6;20,041288;
2011-04-30;16;147,8;17,805417;
2011-05-31;11;70;14,311425;
2011-06-30;16;178,6;11,553472;
2011-07-31;17;324,2;12,063575;
2011-08-31;16;null;13,32484;
2011-09-30;9;57,8;15,011806;
2011-10-31;12;100,2;17,53078;
2011-11-30;6;17,4;19,420278;
2011-12-31;14;69;20,025403;
2012-01-31;9;64,4;21,662366;
2012-02-29;13;173,2;23,273994;
2012-03-31;7;85,6;20,45121;
2012-04-30;11;74,2;17,316111;
2012-05-31;3;25,2;16,20336;
2012-06-30;10;53,6;13,137778;
2012-07-31;11;181,8;11,725134;
2012-08-31;8;66,4;17,277322;
2012-09-30;7;220;15,970278;
2012-10-31;15;155,4;18,831048;
2012-11-30;7;26;20,540139;
2012-12-31;13;217,2;22,856452;
2013-01-31;9;104,4;20,862769;
2013-02-28;15;105,8;21,247173;
2013-03-31;15;186,4;18,377011;
2013-04-30;8;106,8;17,689167;
2013-05-31;15;127,6;14,698253;
2013-06-30;25;141,6;13,097765;
2013-07-31;11;96,4;12,068619;
2013-08-31;16;303,8;11,989247;
2013-09-30;15;182,8;15,452778;
2013-10-31;13;121,6;16,933737;
2013-11-30;10;242,8;19,954028;
2013-12-31;10;133,6;22,225807;
2014-01-31;13;78,2;23,465323;
2014-02-28;15;206,2;23,003274;
2014-03-31;16;187,2;20,053629;
